pSymbol,pGroup,pExchSeg,pInstType,pSymbolName,pTrdSymbol,pOptionType,pScripRefKey,pISIN,pAssetCode,pSubGroup,pCombinedSymbol,pDesc,pAmcCode,pContractId,dTickSize ,lLotSize,lExpiryDate ,lMultiplier ,lPrecision,dStrikePrice;,pExchange,pInstName,pExpiryDate,pIssueDate,pMaturityDate,pListingDate,pNoDelStartDate,pNoDelEndDate,pBookClsStartDate,pBookClsEndDate,pRecordDate,pCreditRating,pReAdminDate,pExpulsionDate,pLocalUpdateTime,pDeliveryUnits,pPriceUnits,pLastTradingDate,pTenderPeridEndDate,pTenderPeridStartDate,pSellVarMargin,pBuyVarMargin,pInstrumentInfo,pRemarksText,pSegment,pNav,pNavDate,pMfAmt,pSipSecurity,pFaceValue,pTrdUnits,pExerciseStartDate,pExerciseEndDate,pElmMargin,pVarMargin,pTotProposedLimitValue,pScripBasePrice,pSettlementType,pCurrectionTime,iPermittedToTrade,iBoardLotQty ,iMaxOrderSize ,iLotSize,dOpenInterest ,dHighPriceRange ,dLowPriceRange ,dPriceNum   ,dGenDen,dGenNum,dPriceQuatation ,dIssuerate ,dPriceDen,dWarningQty ,dIssueCapital ,dExposureMargin ,dMinRedemptionQty ,lFreezeQty,surveillanceMessage,CASEligible
26000,,nse_cm,,NIFTY,NIFTY,,NIFTY,,,,,NIFTY,,,-1,1,-1,-1,2,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,0,1,0,0,0,1,1,1,0,0,1,0,-1,0,0,0,,false
26009,,nse_cm,,BANKNIFTY,BANKNIFTY,,BANKNIFTY,,,,,BANKNIFTY,,,-1,1,-1,-1,2,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,0,1,0,0,0,1,1,1,0,0,1,0,-1,0,0,0,,false
26037,,nse_cm,,FINNIFTY,FINNIFTY,,FINNIFTY,,,,,FINNIFTY,,,-1,1,-1,-1,2,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,0,1,0,0,0,1,1,1,0,0,1,0,-1,0,0,0,,false
26074,,nse_cm,,MIDCPNIFTY,MIDCPNIFTY,,MIDCPNIFTY,,,,,MIDCPNIFTY,,,-1,-1,-1,-1,2,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,0,1,0,0,0,1,1,1,0,0,1,0,-1,0,0,0,,false
15095,SG,nse_cm,,756RJ33,756RJ33-SG,,756RJ33-SG,IN2920230017,,,,SDL RJ 7.56% 2033,,,1,100,-1,-1,2,-1,NSE,,,1366502400,,1366502400,0,0,0,0,0,95.00-105.00,0,0,1474648820,,,,,,,,,,CASH,,,,,10000,,,,0,20,,0.0000,T+1,315513000,0,1,999900.00,100,0,10500,9500,1,1,1,0,0,1,0,1.5e+08,0,0,999900,,false
13243,SG,nse_cm,,765GA32,765GA32-SG,,765GA32-SG,IN1420220106,,,,SDL GA 7.65% 2032,,,1,100,-1,-1,2,-1,NSE,,,1356220800,,1356220800,0,0,0,0,0,95.00-105.00,0,0,1474648820,,,,,,,,,,CASH,,,,,10000,,,,0,20,,0.0000,T+1,315513000,0,1,327000.00,100,0,10500,9500,1,1,1,0,0,1,0,1e+07,0,0,327000,,false
757902,SM,nse_cm,,INTEGRITY,INTEGRITY-SM,,INTEGRITY-SM,INE0YSH01017,,,,INTEGRITY INFRABUILD DE L,,,5,1200,-1,-1,2,-1,NSE,,,1432166400,,1432166400,0,0,0,0,0,162.20-179.20,0,0,1474653966,,,,,,,,,,CASH,,,,,1000,,,,0,20,,0.0000,T+1,315513000,0,1,143880.00,1200,0,17920,16220,1,1,1,0,0,1,0,4.4e+06,0,0,143880,"Average daily number of unique Clients/PAN traded in the scrip in previous 30 days is less than 100,The scrip is not regularly traded, and exit may be difficult",false
21940,SG,nse_cm,,783MH30,783MH30-SG,,783MH30-SG,IN2220200017,,,,SDL MH 7.83% 2030,,,1,100,-1,-1,2,-1,NSE,,,1280275200,,1280275200,0,0,0,0,0,104.79-115.81,0,0,1474648822,,,,,,,,,,CASH,,,,,10000,,,,0,20,,0.0000,T+1,315513000,0,1,906500.00,100,0,11581,10479,1,1,1,0,0,1,0,5e+08,0,0,906500,,false
8357,SG,nse_cm,,725TN32,725TN32-SG,,725TN32-SG,IN3120210403,,,,SDL TN 7.25% 2032,,,1,100,-1,-1,2,-1,NSE,,,1331424000,,1331424000,0,0,0,0,0,95.00-105.00,0,0,1474648819,,,,,,,,,,CASH,,,,,10000,,,,0,20,,0.0000,T+1,315513000,0,1,1000000.00,100,0,10500,9500,1,1,1,0,0,1,0,1e+08,0,0,1000000,,false
8940,BE,nse_cm,,E2E,E2E-BE,,E2E,INE255Z01027,,,,E2E NETWORKS LIMITED,,,5,1,-1,-1,2,-1,NSE,,,1334188800,,1334188800,0,0,0,0,1465084800,603.40-666.90,0,0,1474655344,,,,,,,,,,CASH,,,,,100,,,,0,20,,0.0000,T+1,315513000,0,1,157257.00,1,0,66690,60340,1,1,1,0,0,1,0,2.05565e+08,0,0,157257,"The scrip PE is greater than 50 for previous 4 trailing quarters,Gross settlement (Trade for Trade)",false
757767,EQ,nse_cm,,SAMBHV,SAMBHV-EQ,,SAMBHV,INE12NJ01018,,,,SAMBHV STEEL TUBES LTD,,,1,1,-1,-1,2,-1,NSE,,,1435881600,,1435881600,0,0,0,0,0,126.58-189.86,0,0,1474655346,,,,,,,,,,CASH,,,,,1000,,,,0,20,,0.0000,T+1,315513000,0,1,631775.00,1,0,18986,12658,1,1,1,0,0,1,0,2.94671e+08,0,0,631775,,false
766082,N0,nse_cm,,747RIL31,747RIL31-N0,,747RIL31-N0,INE002A08708,,,,RIL 7.47% 2031 SR Q,,,1,1,-1,-1,2,-1,NSE,,,1474070400,,1474070400,0,0,0,0,0,80000.00-120000.00,0,0,1474648828,,,,,,,,,,CASH,,,,,10000000,,,,0,20,,0.0000,T+1,315513000,0,1,999.00,1,0,1.2e+07,8e+06,1,1,1,0,0,1,0,1.2e+06,0,0,999,,false
